Past 7 days analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Past 7 days
FCC Solwezi,60564877,North-Western,Solwezi,Urban,Female,1,Two or More,AB,Any other post-high school qualification,Seventh Day Adventists,Retired - voluntary scholarspensioners,C2,"K 4,628   -  K 5,364",Yes,45+,FCC Solwezi
Kabangabanga,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Kabangabanga,New Generation,FCC Solwezi"
FCC Solwezi,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Kabangabanga,New Generation,FCC Solwezi"
New Generation,60564879,North-Western,Solwezi,Urban,Male,1,None,AB,University completed,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Kabangabanga,New Generation,FCC Solwezi"
Radio 1,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"Radio 1,Yar,Radio 2"
Yar,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"Radio 1,Yar,Radio 2"
Radio 2,60565711,Copperbelt,Mufulira,Urban,Male,1,One,AB,Any other post-high school qualification,Other Christian,Unemployed [SEEKING A JOB],Do not know,Do not know,Yes,19 – 24,"Radio 1,Yar,Radio 2"
Hot,60566481,Lusaka,Lusaka district,Urban,Female,0,One,AB,Some university,Other Christian,Student,C1,K 850-K 1674,Yes,25 – 34,Hot
Radio Christian Voice,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
United Voice,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
Yangeni,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
Yatsani,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
One Love,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
QFM,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
Komboni,60567058,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C1,K 850-K 1674,Yes,25 – 34,"United Voice,Radio Christian Voice,Yatsani,One Love,Komboni,Q FM,Yangeni FM"
Money FM,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"Mkushi,Money FM"
Mkushi,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"Mkushi,Money FM"
KNC,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Mkushi,Money FM,KNC"
Money FM,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Mkushi,Money FM,KNC"
Mkushi,60567075,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34,"Mkushi,Money FM,KNC"
Radio 1,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,"Mkushi,Money FM,Radio 1"
Money FM,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,"Mkushi,Money FM,Radio 1"
Mkushi,60567102,Central,Mkushi,Urban,Male,1,None,AB,Completed high School,Roman Catholic,Retired - voluntary scholarspensioners,C2,No Income,Yes,45+,"Mkushi,Money FM,Radio 1"
Radio 1,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Money FM,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Mkushi,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Radio 2,60567103,Central,Mkushi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",No,25 – 34,"Mkushi,Money FM,Radio 1,Radio 2"
Radio 1,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Money FM,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Mkushi,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Radio 2,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
KNC,60567108,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Mkushi,Money FM,KNC,Radio 1,Radio 2"
Radio 1,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"Radio 1,Radio 2"
Radio 2,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"Radio 1,Radio 2"
Blue Sky FM,60567441,Central,Chibombo,Urban,Male,3,Two or More,AB,Completed high School,Muslim,Student,AB,Under K 849,Yes,19 – 24,Blue Sky FM
Komboni,60567549,Lusaka,Lusaka district,Urban,Female,1,None,AB,Some high school,Anglican/Protestant,Student,D,Under K 849,Yes,15 – 18,Komboni
Radio 4,60573811,Central,Kabwe,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C1,K 850-K 1674,Yes,25 – 34,"Radio 4,Radio 1"
Radio 1,60573811,Central,Kabwe,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C1,K 850-K 1674,Yes,25 – 34,"Radio 4,Radio 1"
KNC,60573812,Central,Kabwe,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,KNC
BBC,60574364,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,University completed,Others,Working Full-Time,Do not know,Do not know,Yes,25 – 34,BBC
Icengelo,60578278,Copperbelt,Chilililabombwe,Urban,Male,2,Two or More,AB,Some university,Other Christian,Student,No Income,No Income,Yes,19 – 24,Icengelo
QFM,60578701,Lusaka,Lusaka district,Urban,Male,0,Two or More,AB,Completed high School,Other Christian,Student,C1,"K 11,262  -  K 14,631",Yes,19 – 24,QFM
Jive,60581019,Copperbelt,Ndola,Urban,Female,2,None,AB,Completed high School,Others,Self employed,C2,"K 3,155   -  K 3,890",Yes,19 – 24,Jive
BBC,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"Kokoliko,BBC"
Kokoliko,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,"Kokoliko,BBC"
Rise FM,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,"Rise FM,Kokoliko"
Kokoliko,60582629,Copperbelt,Mufulira,Urban,Male,2,Two or More,AB,Completed high School,Anglican/Protestant,Self employed,Do not know,Do not know,Yes,35 – 44,"Rise FM,Kokoliko"
Icengelo,60583047,Copperbelt,Kitwe,Urban,Male,3,None,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 35,000    -  K 36,428",Yes,25 – 34,Icengelo
Radio Christian Voice,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
Radio 1,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
Phoenix,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
Radio 2,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
Radio 4,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
Kafue,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
QFM,60583348,Lusaka,Kafue,Urban,Female,0,None,AB,Some university,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,"Phoenix,Radio 4,Radio 1,Radio Christian Voice,Kafue,Q FM,Radio 2"
5FM,60583351,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34,5FM
Millennium,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,Millennium
Radio 4,60583353,Lusaka,Kafue,Urban,Male,1,One,AB,Completed high School,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"5FM,Radio 4"
5FM,60583353,Lusaka,Kafue,Urban,Male,1,One,AB,Completed high School,Other Christian,Working Full-Time,C1,"K 3,891  -  K 4,627",Yes,35 – 44,"5FM,Radio 4"
Kabangabanga,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Kabangabanga,New Generation,FCC Solwezi"
FCC Solwezi,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Kabangabanga,New Generation,FCC Solwezi"
New Generation,60585282,North-Western,Solwezi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,25 – 34,"Kabangabanga,New Generation,FCC Solwezi"
Kabangabanga,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"Radio Christian Voice,Kabangabanga,New Generation,Beats"
Beats,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"Radio Christian Voice,Kabangabanga,New Generation,Beats"
Radio Christian Voice,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"Radio Christian Voice,Kabangabanga,New Generation,Beats"
New Generation,60585283,North-Western,Solwezi,Urban,Female,1,None,AB,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"Radio Christian Voice,Kabangabanga,New Generation,Beats"
Kabangabanga,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
Radio Christian Voice,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
FCC Solwezi,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
New Generation,60585286,North-Western,Solwezi,Urban,Male,1,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34,"Radio Christian Voice,Kabangabanga,New Generation,FCC Solwezi"
Hot,60585748,Lusaka,Lusaka district,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,35 – 44,Hot
Radio 1,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"Phoenix,Icengelo,Radio 1,Flava FM,BBC"
Icengelo,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"Phoenix,Icengelo,Radio 1,Flava FM,BBC"
Phoenix,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"Phoenix,Icengelo,Radio 1,Flava FM,BBC"
Flava FM,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"Phoenix,Icengelo,Radio 1,Flava FM,BBC"
BBC,60587930,Copperbelt,Kitwe,Urban,Female,2,One,AB,Completed high School,Roman Catholic,Self employed,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"Phoenix,Icengelo,Radio 1,Flava FM,BBC"
Mosi-0-Tunya,60588153,Southern,Livingstone,Urban,Male,1,None,AB,Some university,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,19 – 24,Mosi-0-Tunya
Zambezi,60588168,Southern,Livingstone,Urban,Female,1,Two or More,AB,Some university,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,Zambezi
Radio 4,60595421,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Radio 4,Komboni,Q FM"
QFM,60595421,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Radio 4,Komboni,Q FM"
Phoenix,60595421,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Radio 4,Komboni,Q FM"
Komboni,60595421,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,"Phoenix,Radio 4,Komboni,Q FM"
Power,60595425,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"Power,Hot"
Hot,60595425,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,"Power,Hot"
KNC,60595928,Central,Kabwe,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,35 – 44,KNC
Power,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"KNC,Power,BBC"
BBC,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"KNC,Power,BBC"
KNC,60595930,Central,Kabwe,Urban,Male,1,Two or More,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"KNC,Power,BBC"
Mazabuka,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"Radio 1,Mazabuka,Radio 2,BBC"
Radio 1,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"Radio 1,Mazabuka,Radio 2,BBC"
BBC,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"Radio 1,Mazabuka,Radio 2,BBC"
Radio 2,60596171,Southern,Mazabuka,Urban,Male,1,One,AB,Completed high School,Roman Catholic,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,45+,"Radio 1,Mazabuka,Radio 2,BBC"
Radio 1,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,Radio 1
BBC,60598338,Copperbelt,Kalulushi,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C2,"K 6,103   -  K 7,892",Yes,25 – 34,BBC
Flava FM,60598428,Copperbelt,Kitwe,Urban,Female,1,Two or More,AB,Completed high School,Seventh Day Adventists,Self employed,C1,"K 14,632 -  K 17,499",Yes,19 – 24,Flava FM
Radio 1,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Radio 1,Breeze"
Breeze,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"Radio 1,Breeze"
QFM,60606294,Copperbelt,Mufulira,Urban,Male,0,None,AB,Any other post-high school qualification,Roman Catholic,Working Part-Time,Do not know,Do not know,Yes,25 – 34,QFM
Kafue,60606892,Lusaka,Kafue,Urban,Female,1,None,AB,Some high school,Seventh Day Adventists,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Kafue
BBC,60606893,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Self employed,C2,"K 6,103   -  K 7,892",Yes,45+,"Phoenix,BBC"
Phoenix,60606893,Lusaka,Kafue,Urban,Male,0,None,AB,Completed high School,Other Christian,Self employed,C2,"K 6,103   -  K 7,892",Yes,45+,"Phoenix,BBC"
Radio 4,60606896,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],No Income,No Income,Yes,25 – 34,Radio 4
Radio 4,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"Radio 4,Icengelo"
Icengelo,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"Radio 4,Icengelo"
Mazabuka,60607365,Southern,Mazabuka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Student,C1,"K 7,893 -  K 11,261",Yes,19 – 24,Mazabuka
Phoenix,60608392,Copperbelt,Ndola,Urban,Female,1,None,AB,University completed,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,Phoenix
Radio Christian Voice,60608394,Copperbelt,Ndola,Urban,Female,0,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,Yes,19 – 24,Radio Christian Voice
Kokoliko,60608434,Copperbelt,Kitwe,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Phoenix,Kokoliko"
Phoenix,60608434,Copperbelt,Kitwe,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"Phoenix,Kokoliko"
Radio 1,60610456,Copperbelt,Mufulira,Urban,Male,3,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Part-Time,Do not know,Do not know,Yes,25 – 34,Radio 1
QFM,60611355,Central,Kabwe,Urban,Female,2,One,AB,Completed high School,Anglican/Protestant,Working Full-Time,C1,"K 1675- K2,499",Yes,25 – 34,QFM
