Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Total Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
Falls,60754079,,,"Falls,Mosi-0-Tunya,Zambezi, Radio 1,","Falls,Mosi-0-Tunya,Zambezi, Radio 1,","Falls,Mosi-0-Tunya,Radio 1,Zambezi,",Falls,Falls,"Falls,Mosi-0-Tunya,Radio 1,Zambezi",
Mosi-O-Tunya,60754080,,,"Mosi-0-Tunya,Radio 1, ","Mosi-0-Tunya,Radio 1, ","Mosi-0-Tunya,Radio 1,","Mosi-0-Tunya,Radio 1",Mosi-O-Tunya,"Mosi-0-Tunya,Radio 1","Mosi-0-Tunya,Radio 1"
Mosi-O-Tunya,60754082,,,"Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya,","Falls,Mosi-0-Tunya","Falls,Mosi--Tunya","Falls,Mosi-0-Tunya","Falls,Mosi-0-Tunya"
Falls,60754082,,,"Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya, ","Falls,Mosi-0-Tunya,","Falls,Mosi-0-Tunya","Falls,Mosi--Tunya","Falls,Mosi-0-Tunya","Falls,Mosi-0-Tunya"
Zambezi,60754083,,,"Falls,Mosi-0-Tunya,Radio 1,Zambezi, ","Falls,Mosi-0-Tunya,Radio 1,Zambezi, ","Falls,Mosi-0-Tunya,Radio 1,Zambezi,",,"Radio 1,Zambezi","Falls,Mosi-0-Tunya,Radio 1,Zambezi","Falls,Mosi-0-Tunya,Radio 1,Zambezi"
Radio 1,60754083,,,"Falls,Mosi-0-Tunya,Radio 1,Zambezi, ","Falls,Mosi-0-Tunya,Radio 1,Zambezi, ","Falls,Mosi-0-Tunya,Radio 1,Zambezi,",,"Radio 1,Zambezi","Falls,Mosi-0-Tunya,Radio 1,Zambezi","Falls,Mosi-0-Tunya,Radio 1,Zambezi"
Zambezi,60754084,,,"Falls,Zambezi, ","Falls,Zambezi, ","Falls,Zambezi,","Falls,Zambezi","Falls,Zambezi","Falls,Zambezi","Falls,Zambezi"
Falls,60754084,,,"Falls,Zambezi, ","Falls,Zambezi, ","Falls,Zambezi,","Falls,Zambezi","Falls,Zambezi","Falls,Zambezi","Falls,Zambezi"
Mosi-O-Tunya,60754085,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Zambezi,60754085,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Falls,60754085,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Mosi-O-Tunya,60754086,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Zambezi,60754086,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Falls,60754086,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Zambezi,60754087,,,"Falls,Mosi-0-Tunya,Radio 1,Zambezi, ","Falls,Mosi-0-Tunya,Radio 1,Zambezi, ","Falls,Mosi-0-Tunya,Radio 1,Zambezi,",,Zambezi,"Falls,Mosi-0-Tunya,Radio 1,Zambezi","Falls,Mosi-0-Tunya,Radio 1,Zambezi"
Mosi-O-Tunya,60754090,,,"Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi,",Zambezi,"Mosi--Tunya,Zambezi","Mosi-0-Tunya,Zambezi","Mosi-0-Tunya,Zambezi"
Zambezi,60754090,,,"Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi, ","Mosi-0-Tunya,Zambezi,",Zambezi,"Mosi--Tunya,Zambezi","Mosi-0-Tunya,Zambezi","Mosi-0-Tunya,Zambezi"
Mosi-O-Tunya,60754093,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Zambezi,60754093,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Falls,60754093,,,"Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi, ","Falls,Mosi-0-Tunya,Zambezi",Zambezi,"Falls,Mosi--Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi","Falls,Mosi-0-Tunya,Zambezi"
Radio Mano,60755118,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio 2,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio 2,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio Christian Voice",Radio Mano,Radio Mano,"Lutanda,Kwithu FM,Radio Mano","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
Radio Mano,60755120,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,",,Radio Mano,Radio Mano,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
Lutanda,60755122,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio Christian Voice,",,"Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1"
Kwithu FM,60755122,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio Christian Voice,",,"Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1"
Radio Mano,60755122,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio Christian Voice,",,"Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1"
Radio 1,60755122,,,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1, BBC,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio Christian Voice,",,"Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1","Lutanda,Kwithu FM,Radio Mano,Radio 1"
Phoenix,60755601,,,"KNC,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Cloud FM,Q FM,","KNC,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Cloud FM,Q FM,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,","KNC,Power,Radio 1,Radio 2","Phoenix,Q FM,Radio 1","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,"
Radio 1,60755601,,,"KNC,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Cloud FM,Q FM,","KNC,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Cloud FM,Q FM,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,","KNC,Power,Radio 1,Radio 2","Phoenix,Q FM,Radio 1","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,"
Q FM,60755601,,,"KNC,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Cloud FM,Q FM,","KNC,Maranatha,Phoenix,Power,Radio 1,Radio 2,Radio 4,Cloud FM,Q FM,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,","KNC,Power,Radio 1,Radio 2","Phoenix,Q FM,Radio 1","KNC,Maranatha,Power,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,"
Power,60755602,,,"KNC,Maranatha,Power,Cloud FM,Phoenix,Q FM,Radio 1,Radio 4,","KNC,Maranatha,Power,Cloud FM,Phoenix,Q FM,Radio 1,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4,,","KNC,Power","KNC,Power","Phoenix,Q FM,Radio 1","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4,"
KNC,60755602,,,"KNC,Maranatha,Power,Cloud FM,Phoenix,Q FM,Radio 1,Radio 4,","KNC,Maranatha,Power,Cloud FM,Phoenix,Q FM,Radio 1,Radio 4,","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4,,","KNC,Power","KNC,Power","Phoenix,Q FM,Radio 1","KNC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 4,"
Power,60755603,,,"KNC,Maranatha,Power,Cloud FM,BBC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Maranatha,Power,Cloud FM,BBC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,BBC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Power,Radio 2","Power,Radio 2","KNC,Power,Radio 4,","KNC,BBC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,"
Radio 2,60755603,,,"KNC,Maranatha,Power,Cloud FM,BBC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Maranatha,Power,Cloud FM,BBC,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,BBC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","KNC,Power,Radio 2","Power,Radio 2","KNC,Power,Radio 4,","KNC,BBC,Maranatha,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,"
New Generation,60757629,,,"Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Kabangabanga,New Generation","Kabangabanga,New Generation,Parliament","Beats,Kabangabanga,New Generation,Parliament,Radio 4,Radio Christian Voice","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Parliament,60757629,,,"Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Kabangabanga,New Generation","Kabangabanga,New Generation,Parliament","Beats,Kabangabanga,New Generation,Parliament,Radio 4,Radio Christian Voice","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Kabangabanga,60757629,,,"Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Parliament,","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice","Kabangabanga,New Generation","Kabangabanga,New Generation,Parliament","Beats,Kabangabanga,New Generation,Parliament,Radio 4,Radio Christian Voice","Beats,FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
FCC Solwezi,60757631,,,"FCC Solwezi,Kabangabanga,New Generation, Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation, Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,","FCC Solwezi,Radio 1","FCC Solwezi,Radio 1","FCC Solwezi,Radio 1","FCC Solwezi,Radio 2"
Radio 1,60757631,,,"FCC Solwezi,Kabangabanga,New Generation, Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation, Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,","FCC Solwezi,Radio 1","FCC Solwezi,Radio 1","FCC Solwezi,Radio 1","FCC Solwezi,Radio 2"
Radio 1,60757632,,,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4, Beats,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4, Beats,Radio Christian Voice,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"Kabangabanga,Radio 1,Radio 1","Kabangabanga,Radio 1,Radio 1","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Kabangabanga,60757632,,,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4, Beats,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4, Beats,Radio Christian Voice,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"Kabangabanga,Radio 1,Radio 1","Kabangabanga,Radio 1,Radio 1","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
FCC Solwezi,60757635,,,"FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Kabangabanga,Radio 1","FCC Solwezi,Kabangabanga,Radio 2,Radio Christian Voice","Kabangabanga,New Generation,Radio 1,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Radio Christian Voice,60757635,,,"FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Kabangabanga,Radio 1","FCC Solwezi,Kabangabanga,Radio 2,Radio Christian Voice","Kabangabanga,New Generation,Radio 1,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Radio 2,60757635,,,"FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Kabangabanga,Radio 1","FCC Solwezi,Kabangabanga,Radio 2,Radio Christian Voice","Kabangabanga,New Generation,Radio 1,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Kabangabanga,60757635,,,"FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament, Radio 1,Radio 2,Radio 4,Radio Christian Voice,","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Kabangabanga,Radio 1","FCC Solwezi,Kabangabanga,Radio 2,Radio Christian Voice","Kabangabanga,New Generation,Radio 1,Radio 2,Radio Christian Voice","FCC Solwezi,Kabangabanga,New Generation,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Radio 2,60757636,,,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Beats,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Beats,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Radio 4,"Kabangabanga,Radio 2","Kabangabanga,New Generation,Radio 2","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Kabangabanga,60757636,,,"FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Beats,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice, Beats,","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Radio 4,"Kabangabanga,Radio 2","Kabangabanga,New Generation,Radio 2","Beats,FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
Radio 1,60757637,,,"Kabangabanga, FCC Solwezi,New Generation,Radio 1,Radio 2,Radio 4,","Kabangabanga, FCC Solwezi,New Generation,Radio 1,Radio 2,Radio 4,","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4,",Radio 2,Radio 1,"FCC Solwezi,Kabangabanga,New Generation,Radio 1","FCC Solwezi,Kabangabanga,New Generation,Radio 1,Radio 2,Radio 4"
PASME,60760177,,,"PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Breeze,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"PASME,Petauke Explorers,Radio 1","Maria,PASME,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
Radio 1,60760177,,,"PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Breeze,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"PASME,Petauke Explorers,Radio 1","Maria,PASME,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
Petauke Explorers,60760177,,,"PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","PASME,Petauke Explorers, Breeze,Chikaya,Feel Free,Maria,Mphangwe,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Breeze,Feel Free,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",,"PASME,Petauke Explorers,Radio 1","Maria,PASME,Petauke Explorers,Radio 1","Breeze,Maria,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
Radio 1,60760178,,,"Maria,PASME,Petauke Explorers,Radio 1, BBC,Breeze,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,","Maria,PASME,Petauke Explorers,Radio 1, BBC,Breeze,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,",,"Petauke Explorers,Radio 1","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 2","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
Petauke Explorers,60760178,,,"Maria,PASME,Petauke Explorers,Radio 1, BBC,Breeze,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,","Maria,PASME,Petauke Explorers,Radio 1, BBC,Breeze,Mphangwe,Parliament,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4,",,"Petauke Explorers,Radio 1","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 2","BBC,Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2,Radio 4"
Komboni,60762545,,,"Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM, 5FM,BBC,Radio Christian Voice,Millennium,","Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM, 5FM,BBC,Radio Christian Voice,Millennium,","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,",,"Komboni Radio,Q FM","5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
Q FM,60762545,,,"Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM, 5FM,BBC,Radio Christian Voice,Millennium,","Evelyn, Hone,Hot,Joy,Komboni Radio,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM, 5FM,BBC,Radio Christian Voice,Millennium,","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,",,"Komboni Radio,Q FM","5FM,Evelyn, Hone,Hot,Komboni Radio,Q FM","5FM,BBC,Radio Christian Voice,Evelyn, Hone,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
Radio Christian Voice,60762546,,,"Radio Christian Voice, 5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,UNZA Radio,","Radio Christian Voice, 5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,UNZA Radio,","5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,Radio Christian Voice,UNZA Radio,",,Radio Christian Voice,"Komboni Radio,Q FM,Radio 1","5FM,Radio Christian Voice,Komboni Radio,Millennium,Q FM,Radio 1,Radio Christian Voice,UNZA Radio"
Komboni,60762548,,,"Radio Christian Voice,Komboni Radio,Millennium, 5FM,Hot,Joy,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Radio Christian Voice,Komboni Radio,Millennium, 5FM,Hot,Joy,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM,","Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM","Komboni Radio,Q FM","Komboni Radio,Q FM","Radio Christian Voice,Hot,Phoenix,Q FM,Radio 1","Radio Christian Voice,Hot,Joy,Komboni Radio,Millennium,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rock FM,UNZA Radio,Yatsani, Yangeni FM"
