,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
110,Komboni Radio,60516537,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Do not know,Yes,19 – 24,Yesterday,Yesterday,"Hot FM,Komboni Radio,Rock FM"
111,Komboni Radio,60516538,Lusaka,Lusaka,Urban,Female,1,None,C2,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,No Income,Yes,19 – 24,Yesterday,Past 4 Weeks,Komboni Radio
112,Roots,60516539,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Joy FM,Komboni Radio,Millenium FM,Radio 1,Roots,Unza Radio,"
113,Unza Radio,60516539,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Joy FM,Komboni Radio,Millenium FM,Radio 1,Roots,Unza Radio,"
114,Komboni Radio,60516539,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Joy FM,Komboni Radio,Millenium FM,Radio 1,Roots,Unza Radio,"
115,Radio 1,60516539,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Joy FM,Komboni Radio,Millenium FM,Radio 1,Roots,Unza Radio,"
116,Millenium FM,60516539,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Joy FM,Komboni Radio,Millenium FM,Radio 1,Roots,Unza Radio,"
117,Joy FM,60516539,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24,Yesterday,Never,"Joy FM,Komboni Radio,Millenium FM,Radio 1,Roots,Unza Radio,"
118,Radio 1,60519020,Lusaka,Lusaka,Urban,Male,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Past 7 Days,Past 12 Months,Radio 1
119,BBC,60519021,Lusaka,Lusaka,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34,Past 7 Days,Never,BBC
120,Radio 1,60519023,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"Komboni Radio,Radio 1,Radio 1"
121,Komboni Radio,60519023,Lusaka,Lusaka,Urban,Female,1,None,C1,Some primary school,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 7 Days,Past 12 Months,"Komboni Radio,Radio 1,Radio 1"
122,Radio 1,60519024,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,Past 7 Days,Past 4 Weeks,"Komboni Radio,Radio 1,Rock FM"
123,Rock FM,60519024,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,Past 7 Days,Past 4 Weeks,"Komboni Radio,Radio 1,Rock FM"
124,Komboni Radio,60519024,Lusaka,Lusaka,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,Past 7 Days,Past 4 Weeks,"Komboni Radio,Radio 1,Rock FM"
125,Radio Mazabuka,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 4 Weeks,Past 4 Weeks,"Radio Mazabuka,Radio 1,Radio 1"
126,Radio 1,60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34,Past 4 Weeks,Past 4 Weeks,"Radio Mazabuka,Radio 1,Radio 1"
127,Radio 2,60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+,Yesterday,Never,Radio 2
128,Radio Christian Voice,60524419,Lusaka,Lusaka,Urban,Female,0,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,35 – 44,Past 7 Days,Past 7 Days,Radio Christian Voice
129,Millenium FM,60524421,Lusaka,Lusaka,Urban,Female,2,None,C1,Some university,Other Christian,Unemployed [SEEKING A JOB],C2,K 850-K 1674,No,19 – 24,Yesterday,Never,Millenium FM
130,Joy FM,60524422,Lusaka,Lusaka,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,Past 4 Weeks,Past 7 Days,Joy FM
131,KNCRADIO,60525354,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Self employed,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Yesterday,"KNCRADIO,Power FM"
132,Power FM,60525354,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Self employed,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Yesterday,"KNCRADIO,Power FM"
133,KNCRADIO,60525355,Central,Kabwe,Rural,Female,1,None,D,No formal education,Others,Self employed,D,Under K 849,No,45+,Yesterday,Never,"KNCRADIO,Maranatha,Radio 1,Radio 1 "
134,Radio 1,60525355,Central,Kabwe,Rural,Female,1,None,D,No formal education,Others,Self employed,D,Under K 849,No,45+,Yesterday,Never,"KNCRADIO,Maranatha,Radio 1,Radio 1 "
135,Maranatha,60525355,Central,Kabwe,Rural,Female,1,None,D,No formal education,Others,Self employed,D,Under K 849,No,45+,Yesterday,Never,"KNCRADIO,Maranatha,Radio 1,Radio 1 "
136,KNCRADIO,60525356,Central,Kabwe,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,Do not know,No Income,Yes,19 – 24,Yesterday,Yesterday,"KNCRADIO,Phoenix FM"
137,Phoenix FM,60525356,Central,Kabwe,Urban,Male,1,One,C1,Completed high School,Other Christian,Student,Do not know,No Income,Yes,19 – 24,Yesterday,Yesterday,"KNCRADIO,Phoenix FM"
138,KNCRADIO,60525357,Central,Kabwe,Urban,Female,1,None,C1,Some primary school,Others,Housewife,C2,"K 3,891  -  K 4,627",Yes,19 – 24,Yesterday,Past 12 Months,KNCRADIO
139,Kokoliko,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 12 Months,"Kokoliko,Phoenix FM"
140,Phoenix FM,60526753,Copperbelt,Kitwe,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,25 – 34,Yesterday,Past 12 Months,"Kokoliko,Phoenix FM"
141,PASME,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
142,Radio Breeze FM,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
143,Petauke Explorers,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
144,Radio 1,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
145,PASME,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
146,Radio Breeze FM,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
147,Petauke Explorers,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
148,Radio 1,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,Yesterday,Yesterday,"Radio Breeze FM,PASME,Petauke Explorers,Radio 1"
149,QFM,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Radio Breeze FM,Radio Maria,PASME,Petauke Explorers,QFM,Radio 1"
150,Radio Breeze FM,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Radio Breeze FM,Radio Maria,PASME,Petauke Explorers,QFM,Radio 1"
151,Petauke Explorers,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Radio Breeze FM,Radio Maria,PASME,Petauke Explorers,QFM,Radio 1"
152,Radio 1,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Radio Breeze FM,Radio Maria,PASME,Petauke Explorers,QFM,Radio 1"
153,Radio Maria,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Radio Breeze FM,Radio Maria,PASME,Petauke Explorers,QFM,Radio 1"
154,PASME,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,Yesterday,Past 7 Days,"Radio Breeze FM,Radio Maria,PASME,Petauke Explorers,QFM,Radio 1"
155,PASME,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,Yesterday,Yesterday,"PASME,Petauke Explorers,Radio 1"
156,Petauke Explorers,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,Yesterday,Yesterday,"PASME,Petauke Explorers,Radio 1"
157,Radio 1,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,Yesterday,Yesterday,"PASME,Petauke Explorers,Radio 1"
158,PASME,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,Yesterday,Yesterday,"PASME,Petauke Explorers"
159,Petauke Explorers,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,Yesterday,Yesterday,"PASME,Petauke Explorers"
160,Radio 2,60528203,Copperbelt,Chilililabombwe,Urban,Female,2,None,C1,Completed high School,Roman Catholic,Self employed,Do not know,"K 3,155   -  K 3,890",Yes,25 – 34,Past 12 Months,Past 12 Months,Radio 2
161,Radio Icengelo,60528461,Copperbelt,Kalulushi,Urban,Male,3,None,C1,Primary school completed,Others,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1"
162,Radio 1,60528461,Copperbelt,Kalulushi,Urban,Male,3,None,C1,Primary school completed,Others,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1"
163,Christian Voice,60529347,Lusaka,Lusaka,Urban,Female,1,Two or More,C1,Some university,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34,Past 7 Days,Never,Christian Voice
164,Sat,60529376,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Completed high School,Others,Housewife,Do not know,Do not know,No,35 – 44,Past 12 Months,Never,Sat
165,Isoka,60529579,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Muslim,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,Past 12 Months,Past 12 Months,Isoka
166,Radio 2,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Mazabuka,Parliament,Radio 1,Radio 2"
167,Parliament,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Mazabuka,Parliament,Radio 1,Radio 2"
168,Radio Mazabuka,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Mazabuka,Parliament,Radio 1,Radio 2"
169,Radio 1,60530085,Southern,Mazabuka,Urban,Male,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Radio Mazabuka,Parliament,Radio 1,Radio 2"
170,Radio Mazabuka,60530086,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,19 – 24,Past 7 Days,Past 4 Weeks,Radio Mazabuka
171,Radio 1,60530176,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Some high school,Anglican/Protestant,Student,C1,"K 7,893 -  K 11,261",Yes,15 – 18,Past 4 Weeks,Yesterday,Radio 1
172,Kokoliko,60531169,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Others,Self employed,Do not know,Do not know,Yes,45+,Past 7 Days,Never,"Baptist Faith,Kokoliko"
173,Baptist Faith,60531169,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Others,Self employed,Do not know,Do not know,Yes,45+,Past 7 Days,Never,"Baptist Faith,Kokoliko"
174,Chimwemwe,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,Past 4 Weeks,Never,"Chimwemwe,Radio 2"
175,Radio 2,60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24,Past 4 Weeks,Never,"Chimwemwe,Radio 2"
176,Radio Icengelo,60531878,Copperbelt,Kalulushi,Urban,Female,3,None,C2,Primary school completed,Other Christian,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Past 4 Weeks,Never,Radio Icengelo
177,BBC,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"BBC,Radio Mazabuka,Radio 1,Radio 2,Radio 2"
178,Radio 2,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"BBC,Radio Mazabuka,Radio 1,Radio 2,Radio 2"
179,Radio Mazabuka,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"BBC,Radio Mazabuka,Radio 1,Radio 2,Radio 2"
180,Radio 1,60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,Past 7 Days,Past 4 Weeks,"BBC,Radio Mazabuka,Radio 1,Radio 2,Radio 2"
181,FLAVA FM,60532792,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,Past 12 Months,Never,FLAVA FM
182,Radio Icengelo,60533355,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1"
183,Radio 1,60533355,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,Yesterday,Yesterday,"Radio Icengelo,Radio 1"
184,Radio Mazabuka,60534190,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Radio Mazabuka,Radio 1,Radio 1"
185,Radio 1,60534190,Southern,Mazabuka,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,19 – 24,Yesterday,Yesterday,"Radio Mazabuka,Radio 1,Radio 1"
186,Radio 1,60534385,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,35 – 44,Past 7 Days,Never,Radio 1
187,Radio 1,60534386,Copperbelt,Luanshya,Urban,Female,1,None,C1,Primary school completed,Others,Housewife,C2,"K 2,500   -  K 3,154",Yes,35 – 44,Past 4 Weeks,Past 4 Weeks,"Radio 1,Radio 1"
188,Sat,60534661,Copperbelt,Chilililabombwe,Urban,Female,1,None,C2,Completed high School,Others,Housewife,No Income,No Income,No,45+,Past 7 Days,Never,Sat
189,Radio 1,60536494,Muchinga,Nakonde,Urban,Male,1,None,C2,Some high school,Seventh Day Adventists,Student,Do not know,No Income,Yes,15 – 18,Past 7 Days,Past 7 Days,Radio 1
190,Radio 1,60536495,Muchinga,Nakonde,Urban,Male,0,None,C2,Primary school completed,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,"Radio 1,Radio 1"
191,Radio 1,60536496,Muchinga,Nakonde,Urban,Male,0,None,D,Primary school completed,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,45+,Past 7 Days,Past 7 Days,Radio 1
192,Radio Mazabuka,60536662,Southern,Mazabuka,Urban,Female,2,None,C1,University completed,Seventh Day Adventists,Working Part-Time,C2,Under K 849,Yes,25 – 34,Past 7 Days,Past 12 Months,Radio Mazabuka
193,BBC,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"BBC,Radio Christian Voice,Komboni Radio,Radio 2"
194,Radio 2,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"BBC,Radio Christian Voice,Komboni Radio,Radio 2"
195,Radio Christian Voice,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"BBC,Radio Christian Voice,Komboni Radio,Radio 2"
196,Komboni Radio,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,Past 7 Days,Yesterday,"BBC,Radio Christian Voice,Komboni Radio,Radio 2"
197,BBC,60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34,Yesterday,Yesterday,BBC
198,Radio 2,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Radio 2"
199,Komboni Radio,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,Yesterday,Past 7 Days,"Komboni Radio,Radio 2"
200,Sat,60536801,Copperbelt,Chilililabombwe,Urban,Female,1,None,C1,Primary school completed,Others,Housewife,D,Do not know,Yes,19 – 24,Yesterday,Never,Sat
201,Chimwemwe,60537556,Copperbelt,Kalulushi,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Never,"Chimwemwe,Radio Christian Voice"
202,Radio Christian Voice,60537556,Copperbelt,Kalulushi,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,Yesterday,Never,"Chimwemwe,Radio Christian Voice"
203,QFM,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
204,Radio Christian Voice,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
205,Komboni Radio,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
206,Radio 1,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
207,Radio 2,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
208,Phoenix FM,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
209,Hot FM,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,Yesterday,Yesterday,"Radio Christian Voice,Hot FM,Komboni Radio,Phoenix FM,QFM,Radio 1,Radio 2,Radio 2"
210,Radio 1,60538184,Copperbelt,Kitwe,Urban,Female,2,One,C1,Some high school,Other Christian,Housewife,C2,"K 3,155   -  K 3,890",Yes,19 – 24,Yesterday,Yesterday,Radio 1
211,Radio Icengelo,60538612,Copperbelt,Kalulushi,Urban,Female,3,None,C2,Completed high School,Other Christian,Refused/ don’t know (DON’T READ),Do not know,Do not know,Yes,35 – 44,Past 7 Days,Yesterday,"Radio Icengelo,Radio 1"
