SbjNum,Where Radio was Accessed P7D,Usuall Access to Radio,6 am to 9 am,9 am to 12 pm,12 pm to 3 pm,3 pm to 6 pm,6 pm to 9 pm,9 pm to 1 am,1 am to 6 am,Favourite Radio Station,Reasons for Favourite Radio Station,Preferred Day of the Week for Favourite Station,Type of Radio Programmes Liked,Other Types of Radio Programmes Liked,Preferred time for Music on radio,Other Preferred time for Music on radio,Stations Availability in your Area
60528192,At homeAt work (office field etc)Bus,On a radioOn a mobile phonePay TV eg. DSTV,1 day per week,5 days per week,1 day per week,1 day per week,Less than that,Less than that,Less than that,PASME,because they air Christian programs,"Monday,Sunday","Politics,Sports Commentaries,Religious,Social/community programs e.g. people with special needs,News/current affairs,", ,Early morning, ,"Breeze,PASME,Petauke Explorers,Radio 1,Radio 2"
60528193,At home,On a mobile phone,7 days per week,Less than that,7 days per week,Less than that,1 day per week,Less than that,Less than that,PASME,they bring a lot of religious programs,"Monday,Wednesday,Friday,Saturday,Sunday","Religious,Agricultural issues,Radio drama,News/current affairs,", ,Early afternoon, ,"Breeze,Maria,Mphangwe,Parliament,PASME,Petauke Explorers,Radio 1,Radio 2"
60528194,At home,On a radioOn a mobile phone,7 days per week,3 days per week,1 day per week,3 days per week,Less than that,Less than that,1 day per week,Petauke Explorers,it brings local programs a lot,"Monday,Wednesday,Thursday,Friday,Sunday","Social/community programs e.g. people with special needs,Music shows,News/current affairs,Religious,Radio drama,", ,Early morning, ,"Breeze,PASME,Petauke Explorers"
60528203,At homePrivate taxi,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 4,it's my favourite I listen to what is happening,Wednesday,"Music shows,", ,Lunch time, ,Radio 4
60528461,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Less than that,Less than that,4 days per week,Radio 1,we listen to different stories,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Radio drama,", ,Early morning, ,Radio 1
60529347,In a car-private,On a radio,1 day per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Christian Voice,because she is a Christian,Sunday,"Religious,Music shows,News/current affairs,Children's programs,", ,Early morning, ,"Christian Voice,Hot,Komboni,Phoenix,Unza"
60529376,Private taxiIn a market plac,On a radio,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Do not listen at this time,Less than that,Less than that,Sun,I listen to my favourite music,Saturday,"Music shows,", ,Other (specify),anytime,Sun
60529579,In a car-private,On a radio,Do not listen at this time,Do not listen at this time,3 days per week,3 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,BBC,They are not selective with what they talk yo about compared to ZNBC,"Monday,Tuesday,Wednesday,Thursday,Friday","Music shows,Environmental issues,Religious,Health issues e.g. HIV / AIDS,Sports Commentaries,News/current affairs,Developmental issues e.g. building of roads,Agricultural issues,", ,Late afternoon, ,"BBC,Isoka,Radio 1,Radio 2,Radio 4"
60529580,Other (specify),On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Kwenje,It brings local programs,Saturday,"Children's programs,Music shows,Social/community programs e.g. people with special needs,", ,Late evening, ,Kwenje
60530085,At home,On a radioOn a mobile phone,3 days per week,4 days per week,3 days per week,3 days per week,Do not listen at this time,Do not listen at this time,Less than that,Mazabuka,signal is good,"Monday,Wednesday,Saturday,Sunday","Social/community programs e.g. people with special needs,Agricultural issues,Music shows,News/current affairs,Sports Commentaries,Religious,Health issues e.g. HIV / AIDS,Developmental issues e.g. building of roads,Gender issues,", ,Early morning, ,"BBC,Chikuni,Kariba,Mazabuka,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,Voice of Kalomo,Young Generation,ZNBC 1,ZNBC 2,ZNBC 4"
60530086,At home,On a radio,Do not listen at this time,Do not listen at this time,Less than that,7 days per week,3 days per week,1 day per week,Do not listen at this time,Mazabuka,that's the only radio station m able to catch on my radio,"Tuesday,Wednesday,Friday,Sunday","Health issues e.g. HIV / AIDS,Religious,Music shows,Gender issues,Developmental issues e.g. building of roads,News/current affairs,Environmental issues,", ,Late afternoon, ,"Mazabuka,ZNBC 1,ZNBC 2"
60530176,At home,On a radioOn a mobile phone,Do not listen at this time,Less than that,Less than that,2 days per week,1 day per week,Less than that,Less than that,Radio 1,because i listened to stories and music,Tuesday,"Religious,", ,Lunch time, ,"Baptist Faith,Icengelo,Kokoliko,Radio 1,Radio 2,Radio 4"
60531169,At homeAnother household (friends relatives house)In a car-privateAt work (office field etc)In a market plac,On a radioOn a mobile phoneInternetPay TV eg. DSTV,6 days per week,Do not listen at this time,Do not listen at this time,7 days per week,7 days per week,Do not listen at this time,Do not listen at this time,Baptist Faith,I like listen to the word of God,Monday,"Politics,Religious,Social/community programs e.g. people with special needs,Developmental issues e.g. building of roads,Health issues e.g. HIV / AIDS,", ,Late evening, ,"Baptist Faith,Kokoliko,Radio Christian Voice"
60531744,At home,On a radio,3 days per week,2 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Flava FM,I love their music,Friday,"Gender issues,Music shows,Religious,Health issues e.g. HIV / AIDS,News/current affairs,", ,Early morning, ,Radio Christian Voice
60531824,Another household (friends relatives house)Private taxiIn a market placBus,On a radio,7 days per week,Less than that,Less than that,7 days per week,7 days per week,Less than that,Less than that,Radio Christian Voice,good programmes,"Saturday,Sunday","Religious,", ,Early evening, ,"Chimwemwe,Icengelo,Radio Christian Voice,Sun,ZNBC 1,ZNBC 2,ZNBC 4"
60531878,At home,On a radio,7 days per week,Less than that,Less than that,Less than that,Less than that,Less than that,Less than that,Icengelo,because they pray nice music,"Monday,Tuesday","Children's programs,Religious,Music shows,Radio drama,", ,Early morning, ,"Icengelo,Kokoliko,Radio 1,Radio 2,Radio 4"
60532056,At homeIn a car-privatePrivate taxiIn a bar,On a radioOn a mobile phone,3 days per week,2 days per week,Less than that,1 day per week,Less than that,Do not listen at this time,Do not listen at this time,BBC,i follow world news,Tuesday,"Health issues e.g. HIV / AIDS,Agricultural issues,Music shows,Politics,News/current affairs,Religious,Environmental issues,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Gender issues,Radio drama,", ,Early morning, ,"BBC,Mazabuka,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,ZNBC 1,ZNBC 2,ZNBC 4"
60532792,At home,On a radio,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Icengelo,they talk about something that encourage me,Tuesday,"Religious,Music shows,", ,Late evening, ,Sun
60533355,At home,On a radioOn a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,1 day per week,Do not listen at this time,Icengelo,nice problems,Tuesday,"Radio drama,", ,Early afternoon, ,Icengelo
60534190,At homePrivate taxiAt work (office field etc)In a bar,On a radioOn a mobile phone,4 days per week,3 days per week,1 day per week,2 days per week,Do not listen at this time,Do not listen at this time,Less than that,Mazabuka,the signal is strong,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Gender issues,Developmental issues e.g. building of roads,Politics,Religious,Music shows,Environmental issues,Social/community programs e.g. people with special needs,Children's programs,Radio drama,Sports Commentaries,Health issues e.g. HIV / AIDS,News/current affairs,Agricultural issues,", ,Early morning, ,"Chikuni,Mazabuka,Parliament,Q FM,Radio 1,Radio 2,Radio 4,ZNBC 1,ZNBC 2,ZNBC 4"
60534385,At home,On a radio,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 1,many educative and news programs,Wednesday,"Agricultural issues,Health issues e.g. HIV / AIDS,Music shows,Children's programs,Environmental issues,News/current affairs,", ,Late evening, ,"Chimwemwe,Radio 1"
60534386,At homePrivate taxiIn a market plac,On a radio,6 days per week,4 days per week,Less than that,7 days per week,Less than that,Do not listen at this time,Do not listen at this time,Radio 1,nyanja programs,Monday,"News/current affairs,", ,Late morning, ,{0}
60534387,At home,On a radio,7 days per week,Less than that,7 days per week,Do not listen at this time,7 days per week,Do not listen at this time,Do not listen at this time,Phoenix,best political issues,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Radio drama,Developmental issues e.g. building of roads,Social/community programs e.g. people with special needs,Music shows,Religious,Health issues e.g. HIV / AIDS,Gender issues,Sports Commentaries,Politics,Environmental issues,Agricultural issues,", ,Early morning, ,{0}
60534388,At homeAnother household (friends relatives house),On a mobile phone,Less than that,Less than that,Less than that,4 days per week,Less than that,Less than that,Less than that,{0},music,"Friday,Saturday","Health issues e.g. HIV / AIDS,Music shows,Social/community programs e.g. people with special needs,Gender issues,Religious,", ,Late afternoon, ,"Radio 1,Radio 4,{0}"
60534661,At home,On a radio,Do not listen at this time,Do not listen at this time,6 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Sun,I like the because it has a lot of interesting programmes,Tuesday,"Environmental issues,", ,Late afternoon, ,Sun
60535857,At home,On a radio,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Flava FM,because i like music,Monday,"Environmental issues,Radio drama,", ,Late evening, ,"Chimwemwe,Icengelo"
60536494,At home,On a radioOn a mobile phone,Do not listen at this time,1 day per week,Do not listen at this time,Less than that,3 days per week,Less than that,Do not listen at this time,Radio 2,Because they bring top 10 count down,Saturday,"News/current affairs,Music shows,Children's programs,", ,Late morning, ,"Isoka,Radio 1,Radio 2"
60536495,At home,On a mobile phone,3 days per week,Do not listen at this time,4 days per week,Less than that,5 days per week,Do not listen at this time,Do not listen at this time,Radio 1,It's has a lot of local programs I like e.g utulimbushaIlyashi lyapano isonde,"Wednesday,Friday,Sunday","Social/community programs e.g. people with special needs,Radio drama,Health issues e.g. HIV / AIDS,Agricultural issues,Gender issues,News/current affairs,Music shows,Sports Commentaries,Developmental issues e.g. building of roads,Politics,", ,Early morning, ,None
60536496,At homeAnother household (friends relatives house),On a mobile phone,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,2 days per week,Do not listen at this time,Do not listen at this time,Radio 1,Cibemba,"Wednesday,Friday","Health issues e.g. HIV / AIDS,Environmental issues,Radio drama,Agricultural issues,", ,Late evening, ,"Isoka,Radio 1,Radio 2"
60536662,At home,On a radio,2 days per week,2 days per week,Less than that,Less than that,Less than that,Do not listen at this time,Do not listen at this time,Mazabuka,they bring community programs,"Monday,Wednesday,Sunday","Music shows,Social/community programs e.g. people with special needs,Radio drama,Sports Commentaries,Gender issues,Agricultural issues,Developmental issues e.g. building of roads,Religious,News/current affairs,Environmental issues,", ,Early morning, ,Mazabuka
60536769,At home,On a mobile phone,7 days per week,7 days per week,7 days per week,7 days per week,4 days per week,5 days per week,1 day per week,Komboni,because they bring or they focus on local news all the time,Wednesday,"News/current affairs,", ,Early morning, ,Kafue
60536770,At home,On a mobile phone,7 days per week,7 days per week,6 days per week,3 days per week,4 days per week,6 days per week,7 days per week,BBC,because all international news worldwide,Wednesday,"News/current affairs,", ,Early evening, ,"BBC,Komboni,Radio 1,Radio 2,Radio 4"
60536771,At home,On a radio,4 days per week,7 days per week,4 days per week,7 days per week,5 days per week,7 days per week,4 days per week,Komboni,because they promote local music,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","News/current affairs,Music shows,", ,Early morning, ,"5FM,Christian Voice,Komboni,Radio 1,Radio 2,Radio 4"
60536801,At home,On a radio,6 days per week,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Radio 2,they have interesting music,Friday,"Health issues e.g. HIV / AIDS,Music shows,Sports Commentaries,Religious,Environmental issues,Politics,", ,Early morning, ,Sun
60537539,Private taxi,On a radio,Do not listen at this time,Do not listen at this time,Less than that,Do not listen at this time,Do not listen at this time,Do not listen at this time,Do not listen at this time,Phoenix,music programmes on Sunday morning,Sunday,"Music shows,", ,Early morning, ,"BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 4"
